datetime,station_id,lat,lon,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,overall_aqi,day_of_week,month,hour_sin,hour_cos
2021-01-06 22:00:00+00:00,6943,19.1135051,73.008978,1090.0,,41.21,50.0,219.0,155.61,,8.97,,10900,2,1,-0.5000000000000004,0.8660254037844384
2021-01-06 22:30:00+00:00,6943,19.1135051,73.008978,1070.0,,46.67,47.55,221.33,157.0,,10.32,,10700,2,1,-0.5000000000000004,0.8660254037844384
2021-01-06 22:45:00+00:00,6943,19.1135051,73.008978,1050.0,,40.15,52.19,226.0,157.0,,11.71,,10500,2,1,-0.5000000000000004,0.8660254037844384
2021-01-06 23:00:00+00:00,6943,19.1135051,73.008978,1080.0,,50.18,40.69,226.0,156.7,,12.53,,10800,2,1,-0.25881904510252157,0.9659258262890681
2021-01-07 00:00:00+00:00,6943,19.1135051,73.008978,1050.0,,34.91,51.05,222.0,157.23,,10.27,,10500,3,1,0.0,1.0
2021-01-07 00:30:00+00:00,6943,19.1135051,73.008978,1260.0,,76.09,28.54,224.33,160.0,,10.65,,12600,3,1,0.0,1.0
2021-01-07 02:00:00+00:00,6943,19.1135051,73.008978,1210.0,,61.62,35.59,228.0,165.5,,10.15,,12100,3,1,0.49999999999999994,0.8660254037844387
2021-01-07 02:30:00+00:00,6943,19.1135051,73.008978,1240.0,,56.51,29.78,229.33,169.0,,10.96,,12400,3,1,0.49999999999999994,0.8660254037844387
2021-01-07 02:45:00+00:00,6943,19.1135051,73.008978,1180.0,,37.29,35.76,232.0,169.0,,10.31,,11800,3,1,0.49999999999999994,0.8660254037844387
2021-01-07 03:15:00+00:00,6943,19.1135051,73.008978,1140.0,,43.56,46.9,232.0,168.0,,10.77,,11400,3,1,0.7071067811865476,0.7071067811865476
2021-01-07 04:15:00+00:00,6943,19.1135051,73.008978,1190.0,,30.98,47.86,232.0,169.0,,14.25,,11900,3,1,0.8660254037844386,0.5000000000000001
2021-01-07 04:30:00+00:00,6943,19.1135051,73.008978,1280.0,,43.65,49.99,232.0,169.0,,14.93,,12800,3,1,0.8660254037844386,0.5000000000000001
